Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"IOMERON 400 mg I/ml oldatos injekció";"1 X 100 ml üvegben";"OGYI-T-07754/17";"iomeprol";"Bracco Imaging S.P.A.";"V08AB10";"2017-02-20 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOMERON 400 mg I/ml oldatos injekció";"1 X 150 ml üvegben";"OGYI-T-07754/18";"iomeprol";"Bracco Imaging S.P.A.";"V08AB10";"2017-02-20 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOMERON 400 mg I/ml oldatos injekció";"1 X 50 ml üvegben";"OGYI-T-07754/16";"iomeprol";"Bracco Imaging S.P.A.";"V08AB10";"2017-02-20 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOMERON 400 mg I/ml oldatos injekció";"1 X 500 ml üvegben";"OGYI-T-07754/20";"iomeprol";"Bracco Imaging S.P.A.";"V08AB10";"2020-04-28 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"IOPAMIRO 300 mg I/ml oldatos injekció";"1 X 100 ml injekciós üvegben";"OGYI-T-05588/01";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 300 mg I/ml oldatos injekció";"1 X 30 ml injekciós üvegben";"OGYI-T-05588/03";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 300 mg I/ml oldatos injekció";"1 X 50 ml injekciós üvegben";"OGYI-T-05588/04";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 300 mg I/ml oldatos injekció";"1 X 500 ml injekciós üvegben";"OGYI-T-05588/05";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 370 mg I/ml oldatos injekció";"1 X 100 ml injekciós üvegben";"OGYI-T-05588/08";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 370 mg I/ml oldatos injekció";"1 X 30 ml injekciós üvegben";"OGYI-T-05588/06";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 370 mg I/ml oldatos injekció";"1 X 30 ml injekciós üvegben";"OGYI-T-05588/06";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IOPAMIRO 370 mg I/ml oldatos injekció";"1 X 500 ml injekciós üvegben";"OGYI-T-05588/09";"iopamidol";"Bracco Imaging S.P.A.";"V08AB04";"2020-04-29 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IRINOTECAN ACCORD 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 5 ml injekciós üvegben";"OGYI-T-23076/02";"irinotecan hydrochloride";"Accord Healthcare Polska Sp. z o.o.";"L01CE02";"2022-05-10 00:00:00";"";"Szállítási vagy raktározási gondok";"Egyedi import";
"IRINOTECAN KABI 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 15 ml injekciós üvegben";"OGYI-T-20569/03";"irinotecan";"Fresenius Kabi Hungary Kft.";"L01XX19";"2017-09-19 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IRINOTECAN KABI 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 25 ml injekciós üvegben";"OGYI-T-20569/04";"irinotecan";"Fresenius Kabi Hungary Kft.";"L01XX19";"2017-09-30 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IRINOTECAN KABI 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 25 ml injekciós üvegben";"OGYI-T-20569/04";"irinotecan";"Fresenius Kabi Hungary Kft.";"L01XX19";"2018-09-19 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IRINOTECAN KABI 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 25 ml injekciós üvegben";"OGYI-T-20569/04";"irinotecan";"Fresenius Kabi Hungary Kft.";"L01XX19";"2022-01-18 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"IRINOTECAN KABI 20 mg/ml koncentrátum oldatos infúzióhoz";"1 X 5 ml injekciós üvegben";"OGYI-T-20569/02";"irinotecan";"Fresenius Kabi Hungary Kft.";"L01XX19";"2017-09-30 00:00:00";"2018-11-30 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"IRPRESTAN HCT 150 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-21614/02";"irbesartan;hydrochlorothiazide";"Actavis Group PTC ehf.";"C09DA04";"2023-02-17 00:00:00";"2023-06-15 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"IRPRESTAN HCT 300 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-21614/06";"irbesartan;hydrochlorothiazide";"Actavis Group PTC ehf.";"C09DA04";"2023-02-17 00:00:00";"2023-06-15 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"IRPRESTAN HCT 300 mg/25 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-21614/10";"irbesartan;hydrochlorothiazide";"Actavis Group PTC ehf.";"C09DA04";"2023-02-17 00:00:00";"2023-06-15 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Ilaris 150 mg por oldatos injekcióhoz";"1 X  - injekciós üvegben";"EU/1/09/564/001";"canakinumab";"Novartis Europharm Ltd.";"L04AC08";"2018-05-30 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Imatinib Accord 100 mg filmtabletta";"120 X 1 - adagonként perforált buborékcsomagolásban";"EU/1/13/845/018";"imatinib mesilate";"Accord Healthcare S.L.U.";"L01XE01";"2020-04-24 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Imvanex szuszpenziós injekció";"20 X 0.5 ml injekciós üvegben";"EU/1/13/855/001";"vakcina (virális)";"Bavarian Nordic";"J07BX";"2022-09-09 00:00:00";"";"Hivatalbóli megállapítás";"Kontingens";
"Insuman Basal SoloStar 100 NE/ml szuszpenziós injekció elõretöltött injekciós tollban";"5 X 3 ml elõretöltött injekciós tollban";"EU/1/97/030/148";"insulin human";"sanofi-aventis Deutschland GmbH";"A10AC01";"2023-03-01 00:00:00";"2023-03-31 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"Insuman Comb 15 100 NE/ml szuszpenziós injekció patronban";"5 X 3 ml ";"EU/1/97/030/040";"insulin human";"sanofi-aventis Deutschland GmbH";"A10AD01";"2014-06-02 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Insuman Comb 50 100 NE/ml szuszpenziós injekció patronban";"5 X 3 ml ";"EU/1/97/030/050";"insulin human";"sanofi-aventis Deutschland GmbH";"A10AD01";"2022-01-08 00:00:00";"2022-01-23 00:00:00";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletta";"28 X   - buborékcsomagolásban";"EU/1/06/377/002";"irbesartan;hydrochlorothiazide";"Zentiva, k.s. (Csehország)";"C09DA04";"2021-10-08 00:00:00";"2021-11-22 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"KABIVEN emulziós infúzió";"3 X 2566 ml Biofine zsákban";"OGYI-T-08356/08";"amino acids;lipids;electrolits;glucose";"Fresenius Kabi AB, Uppsala";"B05BA10";"2011-11-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"KALDYUM 600 mg retard kemény kapszula";"100 X   - üvegben";"OGYI-T-05297/02";"potassium chloride";"Egis Gyógyszergyár Zrt.";"A12BA01";"2019-12-17 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"KARDOGREL 75 mg filmtabletta";"28 X   - buborékcsomagolásban";"OGYI-T-20766/02";"clopidogrel";"Pharma-Regist Kft.";"B01AC04";"2020-04-09 00:00:00";"2020-04-23 00:00:00";"Szállítási vagy raktározási gondok";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"KETILEPT 100 mg filmtabletta";"60 X   - buborékcsomagolásban";"OGYI-T-20056/07";"quetiapine";"Egis Gyógyszergyár Zrt.";"N05AH04";"2016-03-31 00:00:00";"2022-12-01 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"KETILEPT 200 mg filmtabletta";"60 X   - buborékcsomagolásban";"OGYI-T-20056/15";"quetiapine";"Egis Gyógyszergyár Zrt.";"N05AH04";"2016-03-31 00:00:00";"2022-12-01 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"KETILEPT 300 mg filmtabletta";"60 X   - buborékcsomagolásban";"OGYI-T-20056/19";"quetiapine";"Egis Gyógyszergyár Zrt.";"N05AH04";"2016-03-31 00:00:00";"2022-12-01 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"KLACID UNO 500 mg retard filmtabletta";"7 X   - buborékcsomagolásban";"OGYI-T-02200/08";"clarithromycin";"Mylan EPD Kft.";"J01FA09";"2019-02-26 00:00:00";"2019-06-25 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"KLION-D 100 hüvelytabletta";"10 X   - -";"OGYI-T-03712/01";"miconazole;metronidazole";"Richter Gedeon Nyrt.";"G01AF20";"2023-03-07 00:00:00";"2023-03-20 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"KONAKION 10 mg/1 ml oldatos injekció";"5 X 1 ml ampulla";"OGYI-T-04204/02";"Phytomenadione";"Cheplapharm Arzneimittel GmbH";"B02BA01";"2019-05-01 00:00:00";"";"Gyártási gond";"Kontingens";
"KONAKION 2 mg/0,2 ml paediatric oldatos injekció";"5 X 0.2 ml ampulla";"OGYI-T-04204/03";"Phytomenadione";"Cheplapharm Arzneimittel GmbH";"B02BA01";"2019-05-01 00:00:00";"";"Gyártási gond";"Kontingens";
"Kaletra 200 mg/50 mg filmtabletta";"120 X   - HDPE tartályban";"EU/1/01/172/004";"lopinavir;ritonavir";"AbbVie Deutschland GmbH & Co. KG ";"J05AR10";"2019-07-30 00:00:00";"";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Keppra 250 mg filmtabletta";"100 X   - -";"EU/1/00/146/005";"levetiracetam";"UCB Pharma S.A.";"N03AX14";"2017-05-31 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Keppra 500 mg filmtabletta";"120 X   - -";"EU/1/00/146/012";"levetiracetam";"UCB Pharma S.A.";"N03AX14";"2017-05-31 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Kogenate Bayer  250 NE por és oldószer oldatos injekcióhoz";"1 X   - ampulla";"EU/1/00/143/004";"octocog alfa";"Bayer AG";"B02BD02";"2014-04-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Kogenate Bayer  500 NE por és oldószer oldatos injekcióhoz";"1 X   - ampulla";"EU/1/00/143/005";"octocog alfa";"Bayer AG";"B02BD02";"2014-04-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Kogenate Bayer 1000 NE por és oldószer oldatos injekcióhoz";"1 X   - ampulla";"EU/1/00/143/006";"octocog alfa";"Bayer AG";"B02BD02";"2014-04-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Kogenate Bayer 2000 NE por és oldószer oldatos injekcióhoz";"1 X   - ampulla";"EU/1/00/143/010";"octocog alfa";"Bayer AG";"B02BD02";"2014-04-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Kogenate Bayer 3000 NE por és oldószer oldatos injekcióhoz";"1 X   - ampulla";"EU/1/00/143/012";"octocog alfa";"Bayer AG";"B02BD02";"2014-04-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Komboglyze  2,5 mg/850 mg filmtabletta";"60 X   - buborékcsomagolásban";"EU/1/11/731/003";"saxagliptin;metformin hydrochloride";"AstraZeneca AB";"A10BD10";"2022-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Komboglyze 2,5 mg/1000 mg filmtabletta";"60 X   - buborékcsomagolásban";"EU/1/11/731/009";"saxagliptin;metformin hydrochloride";"AstraZeneca AB";"A10BD10";"2022-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LAMICTAL   2 mg rágótabletta/diszpergálódó tabletta";"30 X   - HDPE tartályban";"OGYI-T-04094/18";"lamotrigine";"GlaxoSmithKline Trading Services Ltd.";"N03AX09";"2020-10-30 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"LANOTAN 50 mikrogramm/ml oldatos szemcsepp";"1 X 2.5 ml tartályban";"OGYI-T-21504/01";"latanoprost";"Dr. Gerhard Mann Chem.-pharm. Fabrik GmbH";"S01EE01";"2019-08-01 00:00:00";"2019-11-03 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LAVESTRA H 100 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-10305/10";"losartan;hydrochlorothiazide";"Krka d.d.";"C09DA01";"2019-12-06 00:00:00";"2020-01-15 00:00:00";"Szállítási vagy raktározási gondok";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"LEFLOKIN 250 mg filmtabletta";"5 X   - buborékcsomagolásban";"OGYI-T-10515/01";"levofloxacin";"Teva Gyógyszergyár Zrt.";"J01MA12";"2022-03-04 00:00:00";"";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LENDIN 2,5 mg/ml belsõleges oldat";"1 X 120 ml üvegben";"OGYI-T-21640/08";"bilastine";"Menarini International Operations Luxembourg SA";"R06AX29";"2021-12-13 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"LENDORMIN 0,25 mg tabletta";"10 X   - buborékcsomagolásban";"OGYI-T-02276/01";"brotizolam";"Boehringer Ingelheim International GmbH";"N05CD09";"2012-06-10 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LERTAZIN 5 mg filmtabletta";"7 X   - buborékcsomagolásban";"OGYI-T-20511/04";"levocetirizine";"Krka d.d.";"R06AE09";"2021-10-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LETROX  50 mikrogramm tabletta";"100 X   - átlátszatlan fehér buborékcsomagolásban";"OGYI-T-07546/02";"levothyroxine sodium";"Berlin-Chemie AG Menarini Group";"H03AA01";"2023-02-21 00:00:00";"2023-03-29 00:00:00";"Megnövekedett igény";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LEUCOVORIN PHARMACENTER 10 mg/ml oldatos injekció";"1 X 100 mg/10 ml injekciós üvegben";"OGYI-T-22805/01";"calcium folinate";"Pharmacenter Europe Kft.";"V03AF03";"2022-12-15 00:00:00";"2023-04-30 00:00:00";"Gyártási gond";"Kontingens";
"LEUCOVORIN PHARMACENTER 10 mg/ml oldatos injekció";"1 X 500 mg/50 ml injekciós üvegben";"OGYI-T-22805/07";"calcium folinate";"Pharmacenter Europe Kft.";"V03AF03";"2022-12-15 00:00:00";"2023-04-30 00:00:00";"Gyártási gond";"Kontingens";
"LEUCOVORIN-TEVA 10 mg/ml oldatos injekció";"1 X 10 ml injekciós üvegben";"OGYI-T-05072/03";"calcium folinate";"Teva Gyógyszergyár Zrt.";"V03AF03";"2022-03-24 00:00:00";"";"Megnövekedett igény";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"LEUCOVORIN-TEVA 10 mg/ml oldatos injekció";"1 X 20 ml injekciós üvegben";"OGYI-T-05072/05";"calcium folinate";"Teva Gyógyszergyár Zrt.";"V03AF03";"2016-06-01 00:00:00";"";"Gyártási gond";"Kontingens";
"LEUPRORELIN SANDOZ 3,6 mg implantátum";"1 X   - elõretöltött fecskendõben";"OGYI-T-21283/01";"leuprorelin";"Sandoz Hungária Kft.";"L02AE02";"2020-09-08 00:00:00";"2023-06-30 00:00:00";"Szállítási vagy raktározási gondok";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"LEUPRORELIN SANDOZ 5 mg implantátum";"1 X   - elõretöltött fecskendõben";"OGYI-T-21283/02";"leuprorelin";"Sandoz Hungária Kft.";"L02AE02";"2022-03-10 00:00:00";"2023-06-30 00:00:00";"Piaci megfontolások";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"LEVOFLOXACIN KABI 5 mg/ml oldatos infúzió";"20 X 100 ml LDPE palackban";"OGYI-T-20980/08";"levofloxacin";"Fresenius Kabi Hungary Kft.";"J01MA12";"2022-12-19 00:00:00";"2023-01-19 00:00:00";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LEVOXA 500 mg filmtabletta";"7 X   - buborékcsomagolásban";"OGYI-T-20623/08";"levofloxacin";"Actavis Group PTC ehf.";"J01MA12";"2023-01-24 00:00:00";"2023-03-24 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LIBEXIN 100 mg tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-03295/01";"prenoxdiazine";"Zentiva, k.s. (Csehország)";"R05DB18";"2023-01-20 00:00:00";"2023-05-10 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LIDOCAIN-HUMAN  20 mg/ml oldatos injekció";"10 X 2 ml ampulla";"OGYI-T-09371/02";"lidocaine";"Teva Gyógyszergyár Zrt.";"N01BB02";"2016-06-14 00:00:00";"2020-03-01 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LINOSEPTIC 1 mg/g + 10 mg/g gél";"1 X 30 g tubusban";"OGYI-T-22734/03";"octenidine;phenoxyethanol";"Dr. Wolff GmbH";"D08AJ57";"2018-08-31 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LIPTRUZET 10 mg/40 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22732/03";"ezetimibe;atorvastatin";"Organon Hungary Kft.";"C10BA05";"2019-09-03 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LIPTRUZET 10 mg/80 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22732/04";"ezetimibe;atorvastatin";"Organon Hungary Kft.";"C10BA05";"2019-09-03 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LISINOPRIL HEXAL 20 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-09408/03";"lisinopril";"HEXAL AG";"C09AA03";"2022-12-16 00:00:00";"2023-02-28 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LISOPRESS  2,5 mg tabletta";"28 X   - buborékcsomagolásban";"OGYI-T-04916/02";"lisinopril";"Richter Gedeon Nyrt.";"C09AA03";"2013-03-18 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"LITALIR 500 mg kemény kapszula";"100 X   - üvegben";"OGYI-T-01878/01";"hydroxycarbamide";"Cheplapharm Arzneimittel GmbH";"L01XX05";"2023-03-07 00:00:00";"2023-04-15 00:00:00";"Gyártási gond";"Egyedi import";
"LIVIAL 2,5 mg tabletta";"1 X 28 - buborékcsomagolásban";"OGYI-T-20953/01";"tibolone";"Organon Hungary Kft.";"G03CX01";"2018-07-27 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LOCERYL 2,5 mg/g krém";"1 X 20 g Al tubusban";"OGYI-T-04122/02";"amorolfine";"Galderma International";"D01AE16";"2014-04-18 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"LOCOID 1 mg/g krém";"1 X 15 g tubusban";"OGYI-T-05070/03";"hydrocortisone butyrate";"Cheplapharm Arzneimittel GmbH";"D07AB02";"2020-03-10 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LOCOID LIPOCREAM 1 mg/g krém";"1 X 15 g tubusban";"OGYI-T-05070/06";"hydrocortisone butyrate";"Cheplapharm Arzneimittel GmbH";"D07AB02";"2020-03-10 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LOGNIF 0,5 mg kemény kapszula";"28 X 1 - adagonként perforált buborékcsomagolásban";"OGYI-T-23765/06";"fingolimod";"Teva Gyógyszergyár Zrt.";"L04AA27";"2022-10-25 00:00:00";"";"Szállítási vagy raktározási gondok";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LOLIGRIP 500 mg/200 mg/25 mg por belsõleges oldathoz";"8 X   - tasakban";"OGYI-T-23067/02";"paracetamol;ascorbic acid;pheniramine maleate";"Goodwill Pharma Kft.";"R05X";"2023-01-09 00:00:00";"2023-05-09 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"LOPEDIUM 2 mg kemény kapszula";"10 X   - buborékcsomagolásban";"OGYI-T-05711/01";"loperamide";"Sandoz Hungária Kft.";"A07DA03";"2023-01-31 00:00:00";"2023-04-05 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"LORATADIN-RATIOPHARM 10 mg tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-08793/01";"loratadine";"Teva Gyógyszergyár Zrt.";"R06AX13";"2015-08-01 00:00:00";"2020-03-01 00:00:00";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"LOSARTAN KRKA  50 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22063/08";"losartan";"Krka d.d.";"C09CA01";"2020-05-14 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LOSARTAN KRKA 100 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22063/14";"losartan";"Krka d.d.";"C09CA01";"2020-05-14 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA  50 mg/12,5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-21628/19";"losartan;hydrochlorothiazide";"Krka d.d.";"C09DA01";"2019-03-06 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 mg/25 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-21628/22";"losartan;hydrochlorothiazide";"Krka d.d.";"C09DA01";"2020-02-07 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Levetiracetam Actavis  500 mg filmtabletta";"120 X   - buborékcsomagolásban";"EU/1/11/713/016";"levetiracetam";"Actavis Group PTC ehf.";"N03AX14";"2018-01-25 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Levetiracetam Actavis 1000 mg filmtabletta";"60 X   - buborékcsomagolásban";"EU/1/11/713/034";"levetiracetam";"Actavis Group PTC ehf.";"N03AX14";"2017-08-29 00:00:00";"2020-03-01 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Levitra  5 mg filmtabletta";"4 X   - buborékcsomagolásban";"EU/1/03/248/002";"vardenafil";"Bayer AG";"G04BE09";"2018-06-11 00:00:00";"2020-01-30 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Levitra 10 mg filmtabletta";"4 X   - buborékcsomagolásban";"EU/1/03/248/006";"vardenafil";"Bayer AG";"G04BE09";"2018-04-13 00:00:00";"";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"Levitra 10 mg szájban diszpergálódó tabletta";"4 X 1 - adagonként perforált buborékcsomagolásban";"EU/1/03/248/015";"vardenafil";"Bayer AG";"G04BE09";"2018-08-28 00:00:00";"2020-01-30 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Levitra 20 mg filmtabletta";"4 X   - buborékcsomagolásban";"EU/1/03/248/010";"vardenafil";"Bayer AG";"G04BE09";"2022-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
